date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum
25-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
25-01-2020,New South Wales,NSW,3,3,0,0,0,0,0,0,0,0
25-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
25-01-2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0
25-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
25-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
25-01-2020,Victoria,VIC,1,1,0,0,0,0,0,0,0,0
25-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
26-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
26-01-2020,New South Wales,NSW,0,3,0,0,0,0,0,0,0,0
26-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
26-01-2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0
26-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
26-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
26-01-2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0
26-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
27-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
27-01-2020,New South Wales,NSW,1,4,0,0,0,0,0,0,0,0
27-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
27-01-2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0
27-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
27-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
27-01-2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0
27-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
28-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
28-01-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
28-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
28-01-2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0
28-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
28-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
28-01-2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0
28-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
29-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
29-01-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
29-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
29-01-2020,Queensland,QLD,2,2,0,0,0,0,0,0,0,0
29-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
29-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
29-01-2020,Victoria,VIC,2,3,0,0,0,0,0,0,0,0
29-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
30-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
30-01-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
30-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
30-01-2020,Queensland,QLD,0,2,0,0,0,0,0,0,0,0
30-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
30-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
30-01-2020,Victoria,VIC,0,3,0,0,0,0,0,0,0,0
30-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
31-01-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
31-01-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
31-01-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
31-01-2020,Queensland,QLD,0,2,0,0,0,0,0,0,0,0
31-01-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
31-01-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
31-01-2020,Victoria,VIC,0,3,0,0,0,0,0,0,0,0
31-01-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
01-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
01-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
01-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
01-02-2020,Queensland,QLD,0,2,0,0,0,0,0,0,0,0
01-02-2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0
01-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
01-02-2020,Victoria,VIC,1,4,0,0,0,0,0,0,0,0
01-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
02-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
02-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
02-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
02-02-2020,Queensland,QLD,0,2,0,0,0,0,0,0,0,0
02-02-2020,South Australia,SA,2,2,0,0,0,0,0,0,0,0
02-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
02-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
02-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
03-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
03-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
03-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
03-02-2020,Queensland,QLD,0,2,0,0,0,0,0,0,0,0
03-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
03-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
03-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
03-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
04-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
04-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
04-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
04-02-2020,Queensland,QLD,1,3,0,0,0,0,0,0,0,0
04-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
04-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
04-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
04-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
05-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
05-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
05-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
05-02-2020,Queensland,QLD,1,4,0,0,0,0,0,0,0,0
05-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
05-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
05-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
05-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
06-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
06-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
06-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
06-02-2020,Queensland,QLD,1,5,0,0,0,0,0,0,0,0
06-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
06-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
06-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
06-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
07-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
07-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
07-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
07-02-2020,Queensland,QLD,0,5,0,0,0,0,0,0,0,0
07-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
07-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
07-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
07-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
08-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
08-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
08-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
08-02-2020,Queensland,QLD,0,5,0,0,0,0,0,0,0,0
08-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
08-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
08-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
08-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
09-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
09-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
09-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
09-02-2020,Queensland,QLD,0,5,0,0,0,0,0,0,0,0
09-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
09-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
09-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
09-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
10-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
10-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
10-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
10-02-2020,Queensland,QLD,0,5,0,0,0,0,0,0,0,0
10-02-2020,South Australia,SA,0,2,0,0,0,0,0,0,0,0
10-02-2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0
10-02-2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0
10-02-2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0
11-02-2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0
11-02-2020,New South Wales,NSW,0,4,0,0,0,0,0,0,0,0
11-02-2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0
